horse_id,sire,dam_sire
2020105809,ゴールドシップ,グラスワンダー
2020102907,ハービンジャー,ディープインパクト
2020103969,サトノアラジン,ファンタスティックライト
2020103701,ドレフォン,アグネスタキオン
2020102718,オルフェーヴル,More Than Ready
2019106700,ダノンレジェンド,ゴールドアリュール
2023101090,デクラレーションオブウォー,ディープインパクト
2023103901,ハービンジャー,ダイワメジャー
2023106595,ダノンバラード,ヴィクトワールピサ
2023105919,アルアイン,エイシンフラッシュ
2023102965,デクラレーションオブウォー,ルーラーシップ
2023105940,マクマホン,メイショウサムソン
2023102642,オルフェーヴル,ノヴェリスト
2023105712,エイシンフラッシュ,オレハマッテルゼ
2022104370,ルヴァンスレーヴ,デヒア
2022103482,ベストウォーリア,フジキセキ
2022107246,タワーオブロンドン,Storm Cat
2022104343,ゴールドドリーム,サウスヴィグラス
2022102555,オーヴァルエース,タニノギムレット
2022106643,ドレフォン,ハーツクライ
2022106939,ブルドッグボス,キンシャサノキセキ
2022100423,アドミラブル,キングズベストKing'
2022102873,サングラス,エピファネイア
2022100651,ロードカナロア,オルフェーヴル
2022107243,モズアスコット,シンボリクリスエス
2022102793,ダノンレジェンド,ブラックタイド
2022102269,スワーヴリチャード,Acclamation
2022106722,Saxon Warrior,Casamento
2022104724,レイデオロ,ダイワメジャー
2022107362,オルフェーヴル,ダイワメジャー
2022101273,サートゥルナーリア,American Post
2022110071,American Pharoah,More Than Ready
2022101645,アメリカンペイトリオット,Doyen
2022106538,ブリックスアンドモルタル,Street Cry
2022103508,ビーチパトロール,ブラックタイド
2022102779,ロゴタイプ,プリサイスエンド
2022106182,ドレフォン,ブラックタイド
2022110097,Practical Joke,Tiznow
2022110030,Masar,Monsun
2022105297,パドトロワ,サンデーサイレンス
2022104906,エピファネイア,キングカメハメハ
2022103353,トーセンラー,ヴィクトワールピサ
2022104624,レイデオロ,ディープインパクト
2022105083,ロードカナロア,ダンスインザダーク
2022106645,オルフェーヴル,Curlin
2022101430,フィエールマン,Sinndar
2022104308,American Pharoah,Easing Along
2022104726,ハービンジャー,ダイワメジャー
2022100489,ルーラーシップ,エンパイアメーカー
2022103548,キズナ,Shamardal
2022102777,レイデオロ,ブラックタイド
2022105504,ゴールドシップ,ディープインパクト
2022102903,キタサンブラック,Scat Daddy
2022105252,ブリックスアンドモルタル,キングカメハメハ
2022104823,リオンディーズ,ウォーエンブレム
2022104630,サトノダイヤモンド,Sebring
2023103980,サトノクラウン,エピファネイア
2023106619,レッドファルクス,ダイワメジャー
2023105292,エピファネイア,ディープインパクト
2023107235,シルバーステート,Australia
2023101315,カリフォルニアクローム,ダイワメジャー
2023107206,ゴールドシップ,Seeking the Gold
2023103097,ディーマジェスティ,ファスリエフ
2023106665,タワーオブロンドン,ローレルゲレイロ
2023104933,ダノンスマッシュ,ジャイアントレッカー
2023107412,サンダースノー,クロフネ
2023102180,ダノンスマッシュ,ファスリエフ
2022102057,ミッキーアイル,ケイムホーム
2022103151,ミスターメロディ,ファスリエフ
2021100614,ホッコータルマエ,ブラックタイド
2022105909,フリオーソ,サウスヴィグラス
2021100074,ニューイヤーズデイ,ダンスインザダーク
2019101462,ドゥラメンテ,Dashing Blade
2021104589,シャンハイボビー,ダイワメジャー
2022105549,ロードカナロア,Majesticperfection
2022105345,トーセンラー,Smart Strike
2022105394,ブリックスアンドモルタル,Doyen
2022103651,ノーブルミッション,Singspiel
2021104832,ロードカナロア,Scat Daddy
2021105742,エピファネイア,キングカメハメハ
2022105421,ドゥラメンテ,Scat Daddy
2021105244,ブリックスアンドモルタル,サンデーサイレンス
2022101618,バゴ,ディープインパクト
2022105702,American Pharoah,Smiling Tiger
2022106259,マインドユアビスケッツ,Hard Spun
2022107011,シルバーステート,グランデラ
2021106180,ホッコータルマエ,Bernardini
2021102813,アジアエクスプレス,メイショウオウドウ
2017105392,ルーラーシップ,シンボリクリスエス
2021106003,モーニン,ゴールドアリュール
2019106520,ロードカナロア,クロフネ
2022101044,ヘニーヒューズ,ネオユニヴァース
2022105458,サトノクラウン,Monsun
2022103592,スクリーンヒーロー,ロージズインメイ
2021110033,Iffraaj,Frankel
2021106559,ルーラーシップ,シンボリクリスエス
